epoch,accuracy,loss,lr,precision_1,recall_1,sensitivity,specificity,val_accuracy,val_loss,val_precision_1,val_recall_1,val_sensitivity,val_specificity
0,0.6851851940155029,4.556527137756348,1e-04,0.6851851940155029,0.6851851940155029,0.6851851344108582,0.8425925970077515,0.4444444477558136,1.3032679557800293,0.4444444477558136,0.4444444477558136,0.4444444179534912,0.7222222089767456
1,0.8796296119689941,1.8979871273040771,1e-04,0.8796296119689941,0.8796296119689941,0.8796295523643494,0.9398148059844971,0.9259259104728699,0.19801075756549835,0.9259259104728699,0.9259259104728699,0.9259258508682251,0.9629629850387573
2,0.9351851940155029,0.9402320981025696,1e-04,0.9351851940155029,0.9351851940155029,0.9351851344108582,0.9675925970077515,0.8518518805503845,0.44222819805145264,0.8518518805503845,0.8518518805503845,0.851851761341095,0.9259259104728699
3,0.9351851940155029,0.9964735507965088,1e-04,0.9351851940155029,0.9351851940155029,0.9351851344108582,0.9675925970077515,0.8148148059844971,1.982268214225769,0.8148148059844971,0.8148148059844971,0.8148147463798523,0.9074074029922485
4,0.9259259104728699,2.750617742538452,1e-04,0.9259259104728699,0.9259259104728699,0.9259258508682251,0.9629629850387573,1.0,5.695511049452762e-07,1.0,1.0,0.9999999403953552,1.0
5,0.9444444179534912,1.4515454769134521,1e-04,0.9444444179534912,0.9444444179534912,0.9444443583488464,0.9722222089767456,1.0,0.0,1.0,1.0,0.9999999403953552,1.0
6,0.9629629850387573,0.3719465136528015,1e-04,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787,0.9259259104728699,2.9739670753479004,0.9259259104728699,0.9259259104728699,0.9259258508682251,0.9629629850387573
7,0.9814814925193787,0.33864033222198486,1e-04,0.9814814925193787,0.9814814925193787,0.9814814329147339,0.9907407164573669,0.9629629850387573,0.6155952215194702,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
8,0.9814814925193787,0.12149976193904877,1e-04,0.9814814925193787,0.9814814925193787,0.9814814329147339,0.9907407164573669,1.0,4.944944862472767e-07,1.0,1.0,0.9999999403953552,1.0
9,1.0,5.5189475212102934e-09,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,5.8437068219063804e-05,1.0,1.0,0.9999999403953552,1.0
