epoch,accuracy,loss,lr,precision_4,recall_4,sensitivity,specificity,val_accuracy,val_loss,val_precision_4,val_recall_4,val_sensitivity,val_specificity
0,0.7037037014961243,7.319350719451904,1e-04,0.7037037014961243,0.7037037014961243,0.7037036418914795,0.8518518805503845,0.25925925374031067,3.400202512741089,0.25925925374031067,0.25925925374031067,0.25925925374031067,0.6296296119689941
1,0.8333333134651184,3.5938143730163574,1e-04,0.8333333134651184,0.8333333134651184,0.8333332538604736,0.9166666865348816,0.25925925374031067,6.469398021697998,0.25925925374031067,0.25925925374031067,0.25925925374031067,0.6296296119689941
2,0.9074074029922485,0.9966945648193359,1e-04,0.9074074029922485,0.9074074029922485,0.9074073433876038,0.9537037014961243,0.9259259104728699,0.24445979297161102,0.9259259104728699,0.9259259104728699,0.9259258508682251,0.9629629850387573
3,0.9629629850387573,1.0229917764663696,1e-04,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787,1.0,0.00039142556488513947,1.0,1.0,0.9999999403953552,1.0
4,0.9629629850387573,0.9767588973045349,1e-04,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787,0.9629629850387573,2.1835243701934814,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
5,0.9814814925193787,0.8056609034538269,1e-04,0.9814814925193787,0.9814814925193787,0.9814814329147339,0.9907407164573669,0.9259259104728699,1.4917097091674805,0.9259259104728699,0.9259259104728699,0.9259258508682251,0.9629629850387573
6,0.9629629850387573,0.908319354057312,1e-04,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787,1.0,1.751530362525955e-05,1.0,1.0,0.9999999403953552,1.0
7,0.9907407164573669,0.43727678060531616,1e-04,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,0.9629629850387573,0.26413530111312866,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
8,0.9537037014961243,1.0626436471939087,1e-04,0.9537037014961243,0.9537037014961243,0.9537036418914795,0.9768518805503845,0.9629629850387573,2.584368944168091,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
9,0.9907407164573669,0.03424699604511261,1e-04,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,1.766063206787294e-08,1.0,1.0,0.9999999403953552,1.0
10,1.0,1.7881220060189662e-07,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,4.026406259072246e-06,1.0,1.0,0.9999999403953552,1.0
11,1.0,0.0,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,1.3371102795645129e-05,1.0,1.0,0.9999999403953552,1.0
12,1.0,0.0,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,2.0851339286309667e-05,1.0,1.0,0.9999999403953552,1.0
13,1.0,0.0,1e-04,1.0,1.0,0.9999999403953552,1.0,1.0,3.384438605280593e-05,1.0,1.0,0.9999999403953552,1.0
14,0.9907407164573669,0.010679150000214577,5e-05,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,0.9629629850387573,0.8145762085914612,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
15,1.0,8.392705058213323e-05,5e-05,1.0,1.0,0.9999999403953552,1.0,0.9629629850387573,0.751650869846344,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
16,0.9907407164573669,0.7180449366569519,5e-05,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,0.9629629850387573,2.4826579093933105,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
17,1.0,2.2718437321600504e-05,2.5e-05,1.0,1.0,0.9999999403953552,1.0,0.9629629850387573,0.0432128980755806,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
18,0.9907407164573669,0.47500211000442505,2.5e-05,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,0.0,1.0,1.0,0.9999999403953552,1.0
19,1.0,0.0,2.5e-05,1.0,1.0,0.9999999403953552,1.0,1.0,0.0,1.0,1.0,0.9999999403953552,1.0
20,0.9907407164573669,0.7021191120147705,1.25e-05,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,0.9629629850387573,0.06538818776607513,0.9629629850387573,0.9629629850387573,0.9629628658294678,0.9814814925193787
21,1.0,0.0,1.25e-05,1.0,1.0,0.9999999403953552,1.0,1.0,0.0011115132365375757,1.0,1.0,0.9999999403953552,1.0
22,1.0,4.856662272345602e-08,1.25e-05,1.0,1.0,0.9999999403953552,1.0,1.0,0.00018925707263406366,1.0,1.0,0.9999999403953552,1.0
23,0.9907407164573669,0.15159489214420319,6.25e-06,0.9907407164573669,0.9907407164573669,0.9907406568527222,0.9953703880310059,1.0,1.220590274897404e-05,1.0,1.0,0.9999999403953552,1.0
24,1.0,3.090606170985666e-08,6.25e-06,1.0,1.0,0.9999999403953552,1.0,1.0,9.027899068314582e-06,1.0,1.0,0.9999999403953552,1.0
25,1.0,6.666650165243482e-07,6.25e-06,1.0,1.0,0.9999999403953552,1.0,1.0,9.089696504815947e-06,1.0,1.0,0.9999999403953552,1.0
26,1.0,0.0,3.125e-06,1.0,1.0,0.9999999403953552,1.0,1.0,7.593294867547229e-06,1.0,1.0,0.9999999403953552,1.0
27,1.0,0.00025145054678432643,3.125e-06,1.0,1.0,0.9999999403953552,1.0,1.0,6.904665042384295e-06,1.0,1.0,0.9999999403953552,1.0
28,1.0,1.2029009667458013e-05,3.125e-06,1.0,1.0,0.9999999403953552,1.0,1.0,6.670703896816121e-06,1.0,1.0,0.9999999403953552,1.0
29,1.0,0.0,1.5625e-06,1.0,1.0,0.9999999403953552,1.0,1.0,6.657461199210957e-06,1.0,1.0,0.9999999403953552,1.0
