,Chan Vese,Otsu,K-Means
0,0.9627174073296371,0.9727072183555174,0.9717212679849534
1,0.25539629137615255,0.9751568572662382,0.9787892492898413
2,0.3074344700585398,0.7739920650790532,0.0
3,0.9299615814129892,0.9146319440159857,0.932174335099977
4,0.8195630941612743,0.9548434679745539,0.965252616747182
5,0.0005460028960288742,0.09942393578130113,0.0
6,0.0002866071519082415,0.6855002915327295,0.815674362089915
7,5.517389259179204e-05,0.9321054789536802,0.950607726712059
8,0.39756244208052566,0.8940650726334172,0.9270531917805152
9,0.0001314749979997157,0.07011338730444161,0.0
10,0.7908308898858939,0.9791105219882312,0.9806848935705693
11,0.14456508276999572,0.7749699725246495,0.9718645865689587
12,0.001400508080701785,0.22522333503828196,0.7590442478336605
13,0.4430789540314165,0.9860119306622618,0.9854676894628022
14,0.2610088050605544,0.979413814975539,0.9812658211945905
15,0.0002624313460853545,0.8841827680633959,0.9575192947666648
16,0.1564819611890054,0.9801452208070468,0.9806257850590245
17,0.1768967665756027,0.9842533590381304,0.9837171452348163
18,0.2907029575685908,0.9407646590282458,0.9873055299497698
19,0.10957124825670297,0.9634961614240097,0.9767481773371961
